TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD
Theft from Vehicle,2005,11,26,0,0,Marpole
Theft from Vehicle,2005,11,26,11,0,Marpole
Theft from Vehicle,2005,9,18,22,0,Central Business District
Mischief,2005,4,1,20,0,Kerrisdale
Mischief,2005,10,7,21,43,Kerrisdale
Mischief,2005,10,31,18,0,Kerrisdale
Theft of Vehicle,2005,1,7,17,30,Mount Pleasant
Theft of Vehicle,2005,5,27,21,30,Killarney
Break and Enter Commercial,2005,5,10,23,15,Hastings-Sunrise
Break and Enter Commercial,2005,8,9,17,0,Central Business District
Other Theft,2005,9,29,18,0,West End
Break and Enter Residential/Other,2005,11,11,19,0,West End
Break and Enter Residential/Other,2005,7,1,9,0,Grandview-Woodland
Break and Enter Residential/Other,2005,12,10,11,55,Grandview-Woodland
Break and Enter Residential/Other,2005,12,10,22,0,Grandview-Woodland
Break and Enter Residential/Other,2005,12,17,9,0,Grandview-Woodland
Break and Enter Residential/Other,2005,4,13,6,13,Victoria-Fraserview
Break and Enter Residential/Other,2005,6,13,20,13,Mount Pleasant
Break and Enter Residential/Other,2005,1,8,18,0,Mount Pleasant
Other Theft,2005,3,10,9,0,Central Business District
Other Theft,2005,9,21,22,0,Killarney
Break and Enter Residential/Other,2006,12,16,20,0,Strathcona
Other Theft,2006,6,19,13,40,Mount Pleasant
Theft from Vehicle,2006,3,10,2,0,Strathcona
Theft from Vehicle,2006,8,19,0,53,Kerrisdale
Theft of Vehicle,2006,2,14,21,0,Marpole
Break and Enter Residential/Other,2006,9,30,7,30,Hastings-Sunrise
Break and Enter Residential/Other,2006,8,8,11,5,Hastings-Sunrise
Break and Enter Residential/Other,2006,6,21,14,11,Fairview
Break and Enter Residential/Other,2006,10,13,9,0,Fairview
Theft of Vehicle,2006,12,25,2,30,Sunset
Break and Enter Residential/Other,2006,6,10,22,15,Dunbar-Southlands
Break and Enter Commercial,2006,4,14,6,10,Central Business District
Break and Enter Commercial,2006,3,2,22,41,Central Business District
Theft from Vehicle,2006,10,18,19,15,Central Business District
Theft from Vehicle,2006,5,26,21,0,Central Business District
Theft from Vehicle,2006,1,10,7,0,Central Business District
Other Theft,2006,6,11,19,28,Strathcona
Other Theft,2006,8,19,12,0,Strathcona
Mischief,2006,11,19,19,0,Sunset
Mischief,2007,1,6,18,0,Central Business District
Theft from Vehicle,2007,1,27,22,50,Grandview-Woodland
Break and Enter Residential/Other,2007,8,6,11,20,Sunset
Theft from Vehicle,2007,4,4,16,0,Kerrisdale
Mischief,2007,9,20,3,45,Marpole
Other Theft,2007,4,15,21,0,Mount Pleasant
Other Theft,2007,2,3,13,0,Fairview
Mischief,2007,9,2,2,49,Dunbar-Southlands
Break and Enter Residential/Other,2007,9,13,10,0,Victoria-Fraserview
Break and Enter Residential/Other,2007,8,15,11,15,Arbutus Ridge
Theft from Vehicle,2007,10,14,16,0,Marpole
Theft from Vehicle,2007,1,20,22,0,Central Business District
Theft from Vehicle,2007,2,17,21,30,Central Business District
Theft from Vehicle,2007,3,15,12,45,Central Business District
Theft from Vehicle,2007,8,19,20,0,Central Business District
Theft from Vehicle,2007,11,27,13,0,Central Business District
Other Theft,2007,5,13,20,22,Strathcona
Break and Enter Commercial,2008,4,9,14,0,West End
Theft from Vehicle,2008,4,29,0,45,Sunset
Other Theft,2008,9,18,18,0,Hastings-Sunrise
Break and Enter Residential/Other,2008,6,10,0,7,Kensington-Cedar Cottage
Theft from Vehicle,2008,4,13,6,35,Killarney
Break and Enter Residential/Other,2008,11,9,1,31,Central Business District
Break and Enter Residential/Other,2008,10,1,7,30,Marpole
Theft from Vehicle,2008,10,8,17,0,Marpole
Theft from Vehicle,2008,9,18,15,30,Grandview-Woodland
Mischief,2008,11,15,0,1,Marpole
Theft from Vehicle,2008,10,27,1,0,Central Business District
Theft from Vehicle,2008,6,8,1,0,Central Business District
Break and Enter Residential/Other,2008,11,11,16,0,Mount Pleasant
Break and Enter Commercial,2008,6,15,19,0,Strathcona
Mischief,2008,1,6,1,28,Dunbar-Southlands
Mischief,2008,4,13,6,35,Killarney
Mischief,2008,11,9,1,31,Central Business District
Mischief,2008,9,14,0,10,Grandview-Woodland
Theft of Vehicle,2008,8,10,19,10,Central Business District
Mischief,2008,11,9,2,30,Central Business District
Theft of Vehicle,2008,7,28,15,21,Sunset
Theft of Vehicle,2008,11,1,8,38,Dunbar-Southlands
Other Theft,2008,8,21,16,30,Central Business District
Other Theft,2009,6,15,2,0,Marpole
Break and Enter Residential/Other,2009,10,12,0,0,Grandview-Woodland
Break and Enter Residential/Other,2009,10,3,21,0,Grandview-Woodland
Break and Enter Residential/Other,2009,3,23,6,30,Marpole
Theft of Vehicle,2009,7,27,22,0,Victoria-Fraserview
Mischief,2009,10,3,21,0,Grandview-Woodland
Mischief,2009,7,31,22,21,Strathcona
Break and Enter Commercial,2009,2,19,21,18,Central Business District
Break and Enter Commercial,2009,11,30,16,47,Central Business District
Mischief,2009,7,1,18,41,Mount Pleasant
Other Theft,2009,9,5,12,30,West Point Grey
Theft from Vehicle,2009,3,5,14,0,Marpole
Other Theft,2009,7,24,20,0,West End
Theft from Vehicle,2009,3,23,12,0,Grandview-Woodland
Theft of Vehicle,2009,5,26,1,38,Hastings-Sunrise
Theft of Vehicle,2009,8,19,23,0,Central Business District
Theft of Vehicle,2009,10,11,2,0,Central Business District
Other Theft,2009,3,23,6,30,Marpole
Theft from Vehicle,2009,6,20,18,0,Victoria-Fraserview
Theft from Vehicle,2009,5,29,12,0,Marpole
Break and Enter Residential/Other,2009,2,25,0,1,Mount Pleasant
Break and Enter Residential/Other,2009,1,1,23,0,Fairview
Break and Enter Residential/Other,2009,8,6,11,55,Hastings-Sunrise
Mischief,2009,5,29,22,30,Dunbar-Southlands
Break and Enter Residential/Other,2009,4,5,16,0,Dunbar-Southlands
Theft from Vehicle,2010,5,28,19,0,Fairview
Theft from Vehicle,2010,1,21,20,0,Kensington-Cedar Cottage
Theft from Vehicle,2010,5,28,22,0,Fairview
Break and Enter Residential/Other,2010,11,13,8,0,Grandview-Woodland
Break and Enter Residential/Other,2010,6,17,9,0,Grandview-Woodland
Break and Enter Residential/Other,2010,12,20,6,0,West End
Break and Enter Residential/Other,2010,11,18,16,54,West End
Theft from Vehicle,2010,1,16,22,30,Oakridge
Theft from Vehicle,2010,10,6,0,0,Oakridge
Theft from Vehicle,2010,9,25,16,0,Grandview-Woodland
Theft from Vehicle,2010,9,26,0,0,Grandview-Woodland
Theft from Vehicle,2010,12,13,22,30,Grandview-Woodland
Mischief,2010,1,16,22,30,Oakridge
Mischief,2010,10,30,19,59,Central Business District
Mischief,2010,8,20,8,54,Strathcona
Theft of Vehicle,2010,5,28,20,40,Central Business District
Other Theft,2010,7,23,18,15,Fairview
Other Theft,2010,10,7,4,0,Riley Park
Theft from Vehicle,2010,7,28,20,30,Central Business District
Theft from Vehicle,2010,1,9,18,0,Mount Pleasant
Theft from Vehicle,2010,2,19,16,0,Shaughnessy
Break and Enter Commercial,2010,11,2,2,21,Strathcona
Break and Enter Residential/Other,2010,10,21,22,53,Strathcona
Break and Enter Commercial,2010,5,28,22,0,Fairview
Other Theft,2011,4,29,13,0,Marpole
Other Theft,2011,5,6,15,39,Victoria-Fraserview
Other Theft,2011,1,26,16,0,Fairview
Theft from Vehicle,2011,9,30,18,0,Mount Pleasant
Theft from Vehicle,2011,11,9,21,30,Arbutus Ridge
Theft of Vehicle,2011,12,1,17,30,Grandview-Woodland
Theft of Vehicle,2011,10,2,18,0,Marpole
Break and Enter Commercial,2011,2,8,23,40,Strathcona
Break and Enter Commercial,2011,3,6,16,9,Strathcona
Break and Enter Commercial,2011,8,28,4,36,Fairview
Break and Enter Commercial,2011,6,10,23,0,Mount Pleasant
Break and Enter Residential/Other,2011,7,7,1,35,West End
Break and Enter Residential/Other,2011,3,6,16,0,Grandview-Woodland
Break and Enter Residential/Other,2011,11,4,20,0,Grandview-Woodland
Break and Enter Residential/Other,2011,5,6,15,39,Victoria-Fraserview
Break and Enter Residential/Other,2011,7,16,4,0,Kensington-Cedar Cottage
Mischief,2011,9,4,17,52,Mount Pleasant
Mischief,2011,8,28,4,36,Fairview
Mischief,2011,6,9,18,0,Mount Pleasant
Mischief,2011,5,31,16,26,Marpole
Mischief,2011,10,3,5,35,Marpole
Break and Enter Residential/Other,2011,12,23,20,45,Mount Pleasant
Break and Enter Residential/Other,2011,3,14,10,20,Killarney
Theft from Vehicle,2012,3,18,21,0,Sunset
Break and Enter Residential/Other,2012,8,9,15,0,Fairview
Theft of Vehicle,2012,5,1,20,0,Mount Pleasant
Break and Enter Residential/Other,2012,3,18,17,0,Riley Park
Other Theft,2012,7,20,17,20,Renfrew-Collingwood
Break and Enter Residential/Other,2012,8,26,23,0,Grandview-Woodland
Break and Enter Residential/Other,2012,10,4,18,46,Marpole
Break and Enter Residential/Other,2012,1,16,16,0,Oakridge
Mischief,2012,8,16,12,0,Kerrisdale
Mischief,2012,8,26,0,28,Kerrisdale
Other Theft,2012,6,5,0,0,Oakridge
Theft from Vehicle,2012,5,18,18,0,Central Business District
Theft from Vehicle,2012,5,25,11,0,Hastings-Sunrise
Mischief,2012,8,15,17,0,Sunset
Break and Enter Residential/Other,2013,8,23,18,30,Grandview-Woodland
Break and Enter Residential/Other,2013,8,2,10,0,Grandview-Woodland
Break and Enter Residential/Other,2013,6,13,16,0,Grandview-Woodland
Break and Enter Residential/Other,2013,2,28,20,9,Grandview-Woodland
Other Theft,2013,6,14,8,40,Dunbar-Southlands
Mischief,2013,2,25,23,0,Central Business District
Mischief,2013,6,8,23,15,Central Business District
Theft from Vehicle,2013,12,29,1,0,Renfrew-Collingwood
Break and Enter Commercial,2013,11,28,22,0,Marpole
Other Theft,2013,6,8,4,30,Dunbar-Southlands
Break and Enter Residential/Other,2013,2,5,12,30,Fairview
Other Theft,2013,8,14,10,53,Central Business District
Break and Enter Commercial,2013,3,21,8,30,Grandview-Woodland
Other Theft,2013,10,15,17,0,Mount Pleasant
Other Theft,2013,10,2,10,0,Mount Pleasant
Other Theft,2013,1,21,14,0,Mount Pleasant
Other Theft,2014,10,9,17,0,Central Business District
Other Theft,2014,6,3,22,0,Central Business District
Break and Enter Residential/Other,2014,1,10,12,30,Fairview
Theft from Vehicle,2014,10,17,20,0,Mount Pleasant
Theft from Vehicle,2014,10,3,19,0,Grandview-Woodland
Theft from Vehicle,2014,3,23,21,30,Central Business District
Theft from Vehicle,2014,3,29,9,30,Sunset
Other Theft,2014,6,24,11,40,Riley Park
Other Theft,2014,4,11,11,30,Mount Pleasant
Theft from Vehicle,2014,9,10,5,45,Marpole
Other Theft,2014,11,15,16,44,Strathcona
Other Theft,2014,8,29,9,0,Strathcona
Theft from Vehicle,2014,4,5,23,30,Central Business District
Theft from Vehicle,2014,11,30,3,30,Central Business District
Theft from Vehicle,2014,6,26,20,0,Hastings-Sunrise
Theft of Vehicle,2014,6,18,23,0,Renfrew-Collingwood
Break and Enter Residential/Other,2014,2,2,12,0,Grandview-Woodland
Break and Enter Residential/Other,2014,3,22,4,30,Grandview-Woodland
Break and Enter Residential/Other,2014,12,3,16,0,Central Business District
Break and Enter Residential/Other,2014,10,14,9,16,Victoria-Fraserview
Theft from Vehicle,2015,3,6,18,40,Shaughnessy
Mischief,2015,5,22,8,55,Strathcona
Other Theft,2015,7,24,2,0,Grandview-Woodland
Mischief,2015,8,22,18,0,Grandview-Woodland
Theft of Vehicle,2015,9,27,17,45,Mount Pleasant
Break and Enter Commercial,2015,3,30,9,50,Strathcona
Break and Enter Commercial,2015,5,27,0,0,Central Business District
Mischief,2015,10,20,10,0,Grandview-Woodland
Other Theft,2015,2,21,15,6,Strathcona
Other Theft,2015,10,7,19,45,Strathcona
Break and Enter Residential/Other,2015,10,15,9,45,Grandview-Woodland
Other Theft,2015,6,21,15,0,West Point Grey
Break and Enter Residential/Other,2015,12,11,18,0,Riley Park
Break and Enter Residential/Other,2015,10,14,13,0,Riley Park
Other Theft,2015,1,24,15,30,Fairview
Other Theft,2015,7,4,22,0,Central Business District
Theft from Vehicle,2015,12,11,18,0,Riley Park
Break and Enter Residential/Other,2015,1,13,5,15,Arbutus Ridge
Theft from Vehicle,2015,12,10,20,30,Oakridge
Theft from Vehicle,2015,12,5,23,0,Riley Park
Break and Enter Residential/Other,2015,12,28,19,47,Mount Pleasant
Mischief,2015,5,27,0,0,Central Business District
Mischief,2015,4,10,14,20,Central Business District
Mischief,2015,4,5,0,45,Central Business District
Other Theft,2016,7,19,18,45,Central Business District
Other Theft,2016,2,14,9,50,Kitsilano
Theft from Vehicle,2016,7,2,19,15,Fairview
Theft of Vehicle,2016,4,30,18,30,Strathcona
Theft from Vehicle,2016,4,14,16,35,Fairview
Offence Against a Person,2016,4,4,,,Riley Park
Offence Against a Person,2016,1,25,,,Riley Park
Mischief,2016,1,13,21,0,Grandview-Woodland
Theft from Vehicle,2016,3,15,21,0,Fairview
Theft from Vehicle,2016,2,1,3,30,Killarney
Mischief,2016,9,8,16,0,Grandview-Woodland
Mischief,2016,6,15,9,20,Grandview-Woodland
Mischief,2016,9,1,14,0,Victoria-Fraserview
Theft from Vehicle,2016,6,3,14,0,Grandview-Woodland
Mischief,2016,10,12,21,0,Victoria-Fraserview
Mischief,2016,6,22,23,0,Victoria-Fraserview
Offence Against a Person,2016,1,19,,,Riley Park
Break and Enter Commercial,2016,1,8,3,4,Fairview
Break and Enter Commercial,2016,6,30,16,30,Fairview
Theft from Vehicle,2016,5,28,3,40,Fairview
Theft of Vehicle,2016,3,10,8,30,Central Business District
Other Theft,2016,7,29,14,0,Riley Park
Other Theft,2016,1,26,3,26,Shaughnessy
Break and Enter Commercial,2016,3,17,20,0,West End
Break and Enter Commercial,2016,3,23,0,1,West End
Break and Enter Commercial,2016,3,21,18,34,West End
Mischief,2016,1,19,23,0,Kensington-Cedar Cottage
Other Theft,2016,7,20,13,30,Central Business District
Theft from Vehicle,2016,10,21,22,0,Fairview
Other Theft,2016,8,15,18,0,Central Business District
Theft of Vehicle,2016,4,14,14,0,Renfrew-Collingwood
Other Theft,2016,1,30,17,5,Riley Park
Theft from Vehicle,2016,8,14,23,0,Grandview-Woodland
Theft from Vehicle,2016,5,1,20,0,Fairview
Mischief,2016,1,25,0,0,Kensington-Cedar Cottage
Other Theft,2016,3,16,20,30,Kitsilano
Other Theft,2016,6,8,16,43,Kitsilano
Other Theft,2016,6,14,16,24,Kitsilano
Offence Against a Person,2016,1,31,,,Riley Park
Break and Enter Commercial,2016,4,2,22,0,Strathcona
Offence Against a Person,2016,1,18,,,Riley Park
Theft of Vehicle,2016,5,6,11,0,Renfrew-Collingwood
Other Theft,2016,10,19,14,39,Kitsilano
Offence Against a Person,2016,1,23,,,Riley Park
Other Theft,2016,10,24,11,24,Kitsilano
Mischief,2016,5,19,23,30,Kensington-Cedar Cottage
Break and Enter Commercial,2016,10,4,14,33,Strathcona
Other Theft,2016,11,10,17,51,Kitsilano
Other Theft,2016,11,18,18,51,Kitsilano
Offence Against a Person,2016,5,5,,,Riley Park
Break and Enter Commercial,2016,5,19,18,0,Strathcona
Theft from Vehicle,2016,1,9,15,0,West End
Theft from Vehicle,2016,1,15,0,0,West End
Theft from Vehicle,2016,1,16,4,25,West End
Theft from Vehicle,2016,2,13,17,0,West End
Theft from Vehicle,2016,2,14,0,0,West End
Other Theft,2016,12,3,17,9,Kitsilano
Offence Against a Person,2016,2,12,,,Riley Park
Mischief,2016,8,21,20,0,Kensington-Cedar Cottage
Mischief,2016,7,1,15,30,Kensington-Cedar Cottage
Theft of Vehicle,2016,5,25,17,40,Renfrew-Collingwood
Other Theft,2016,2,12,15,37,Kitsilano
Other Theft,2016,4,3,16,7,Kitsilano
Other Theft,2016,7,29,23,30,Strathcona
Other Theft,2016,12,4,11,24,Central Business District
Theft from Vehicle,2016,3,8,13,0,Grandview-Woodland
Theft from Vehicle,2016,4,11,10,0,Fairview
Mischief,2016,7,1,1,30,West End
Other Theft,2016,5,2,17,0,Kitsilano
Break and Enter Commercial,2016,6,3,19,0,Central Business District
Break and Enter Commercial,2016,11,21,1,22,Central Business District
Other Theft,2016,5,2,18,30,Kitsilano
Other Theft,2016,11,6,13,45,Renfrew-Collingwood
Mischief,2016,2,18,8,0,Kitsilano
Mischief,2016,3,6,0,0,Kitsilano
Break and Enter Commercial,2016,3,25,3,35,Central Business District
Other Theft,2016,6,14,12,0,Renfrew-Collingwood
Other Theft,2016,4,26,17,0,Kitsilano
Mischief,2016,2,4,22,0,West End
Other Theft,2016,11,2,15,35,Kitsilano
Theft from Vehicle,2016,2,14,9,26,West End
Other Theft,2016,6,12,14,3,Kitsilano
Break and Enter Commercial,2016,10,7,22,27,Central Business District
Theft from Vehicle,2016,9,14,14,30,Fairview
Theft from Vehicle,2016,5,22,10,9,Fairview
Offence Against a Person,2016,9,19,,,Riley Park
Mischief,2016,6,28,16,49,Grandview-Woodland
Mischief,2016,3,18,9,0,Grandview-Woodland
Theft from Vehicle,2016,5,13,6,30,Fairview
Offence Against a Person,2016,4,5,,,Riley Park
Theft from Vehicle,2016,5,5,22,49,Fairview
Theft from Vehicle,2016,4,11,9,0,Fairview
Theft from Vehicle,2016,4,11,7,30,Fairview
Theft from Vehicle,2016,4,6,6,30,Fairview
Theft from Vehicle,2016,3,22,7,30,Fairview
Theft of Vehicle,2016,5,20,10,0,Shaughnessy
Offence Against a Person,2016,3,13,,,Riley Park
Break and Enter Commercial,2016,1,5,4,20,Fairview
Break and Enter Commercial,2016,1,8,1,0,Fairview
Theft from Vehicle,2016,8,12,6,12,Arbutus Ridge
Theft of Vehicle,2016,6,7,11,45,Central Business District
Theft from Vehicle,2016,3,7,6,40,Fairview
Offence Against a Person,2016,3,18,,,Riley Park
Theft of Vehicle,2016,8,1,19,16,Fairview
Break and Enter Commercial,2016,5,24,8,1,Sunset
Theft from Vehicle,2016,2,3,7,0,Fairview
Break and Enter Commercial,2016,2,26,12,0,Central Business District
Break and Enter Commercial,2016,10,2,9,50,Central Business District
Other Theft,2016,1,28,23,30,Strathcona
Theft from Vehicle,2016,1,29,22,0,Kerrisdale
Other Theft,2016,9,4,12,0,Central Business District
Other Theft,2016,9,10,13,30,Kitsilano
Offence Against a Person,2016,4,8,,,Riley Park
Break and Enter Commercial,2016,1,4,15,55,Central Business District
Break and Enter Commercial,2016,1,14,22,0,Central Business District
Break and Enter Commercial,2016,3,4,7,44,Central Business District
Break and Enter Commercial,2016,8,31,8,15,Central Business District
Break and Enter Commercial,2016,9,3,21,0,Central Business District
Other Theft,2016,7,12,18,0,Kerrisdale
Mischief,2016,7,31,19,29,Grandview-Woodland
Offence Against a Person,2016,5,19,,,Riley Park
Offence Against a Person,2016,2,20,,,Riley Park
Other Theft,2016,7,21,11,0,Kitsilano
Offence Against a Person,2016,1,4,,,Riley Park
Mischief,2016,6,30,21,0,Grandview-Woodland
Other Theft,2016,4,30,21,30,Kitsilano
Theft from Vehicle,2016,7,20,23,30,Grandview-Woodland
Other Theft,2016,2,5,23,12,Dunbar-Southlands
Offence Against a Person,2016,5,8,,,Riley Park
Offence Against a Person,2016,5,8,,,Riley Park
Other Theft,2016,5,18,14,56,Kitsilano
Mischief,2016,2,3,0,0,West End
Offence Against a Person,2016,10,8,,,Riley Park
Other Theft,2016,7,12,13,55,Renfrew-Collingwood
Other Theft,2016,7,9,19,43,Renfrew-Collingwood
Other Theft,2016,1,10,20,41,Renfrew-Collingwood
Other Theft,2016,10,24,12,20,Dunbar-Southlands
Mischief,2016,5,26,5,35,West End
Mischief,2016,5,2,20,45,West End
Other Theft,2016,1,18,6,0,Kitsilano
Mischief,2016,9,23,21,0,Grandview-Woodland
Other Theft,2016,4,5,18,25,Central Business District
Other Theft,2016,4,13,10,40,Central Business District
Other Theft,2016,10,18,17,38,Kensington-Cedar Cottage
Other Theft,2016,4,18,18,25,Central Business District
Other Theft,2016,8,7,18,28,Central Business District
Offence Against a Person,2016,7,7,,,Riley Park
Break and Enter Commercial,2016,11,5,4,43,Fairview
Mischief,2016,1,20,13,41,Grandview-Woodland
Other Theft,2016,8,18,17,10,Central Business District
Offence Against a Person,2016,10,3,,,Riley Park
Other Theft,2016,8,22,10,56,Central Business District
Other Theft,2016,9,4,16,59,Central Business District
Other Theft,2016,9,7,20,40,Central Business District
Other Theft,2016,9,11,14,45,Central Business District
Mischief,2016,5,23,0,0,Shaughnessy
Other Theft,2016,10,7,17,2,Central Business District
Mischief,2016,5,26,18,0,Fairview
Offence Against a Person,2016,1,11,,,Riley Park
Other Theft,2016,11,18,12,54,Central Business District
Other Theft,2016,9,15,8,57,Central Business District
Other Theft,2016,11,12,15,0,Renfrew-Collingwood
Other Theft,2016,2,8,12,0,Kitsilano
Other Theft,2016,3,17,19,40,Shaughnessy
Mischief,2016,7,25,16,0,Fairview
Break and Enter Commercial,2016,1,26,5,13,Fairview
Break and Enter Commercial,2016,7,7,21,0,South Cambie
Other Theft,2016,2,6,18,45,Renfrew-Collingwood
Break and Enter Commercial,2016,4,27,18,30,Fairview
Offence Against a Person,2016,11,11,,,Riley Park
Other Theft,2016,11,18,14,0,Central Business District
Offence Against a Person,2016,7,2,,,Riley Park
Mischief,2016,4,19,19,4,Marpole
Mischief,2016,8,11,23,1,Marpole
Offence Against a Person,2016,11,23,,,Riley Park
Other Theft,2016,1,4,10,8,Central Business District
Theft from Vehicle,2016,10,6,6,30,Fairview
Offence Against a Person,2016,1,8,,,Riley Park
Theft from Vehicle,2016,10,14,14,0,Grandview-Woodland
Mischief,2016,11,29,19,0,Fairview
Other Theft,2016,8,21,19,34,Arbutus Ridge
Theft of Vehicle,2016,1,13,9,45,Grandview-Woodland
Other Theft,2016,8,20,11,0,West End
Other Theft,2016,6,9,0,0,Kensington-Cedar Cottage
Theft from Vehicle,2016,10,7,20,0,Killarney
Other Theft,2016,8,13,20,30,Kitsilano
Break and Enter Commercial,2016,2,1,22,0,Fairview
Break and Enter Commercial,2016,5,19,21,0,Fairview
Offence Against a Person,2016,1,9,,,Riley Park
Other Theft,2016,3,14,15,14,Kensington-Cedar Cottage
Theft from Vehicle,2016,8,4,0,30,Central Business District
Theft from Vehicle,2016,3,20,1,30,Killarney
Theft from Vehicle,2016,4,21,23,0,Central Business District
Other Theft,2016,8,16,15,30,Kitsilano
Other Theft,2016,1,24,13,11,Fairview
Offence Against a Person,2016,11,16,,,Riley Park
Other Theft,2016,9,1,16,0,Fairview
Offence Against a Person,2016,4,29,,,Riley Park
Other Theft,2016,1,16,23,30,Grandview-Woodland
Other Theft,2016,11,10,18,21,Grandview-Woodland
Other Theft,2016,3,19,17,30,Grandview-Woodland
Theft from Vehicle,2016,1,27,21,0,West End
Theft from Vehicle,2016,4,3,2,0,Grandview-Woodland
Theft from Vehicle,2016,8,10,17,0,Strathcona
Offence Against a Person,2016,5,26,,,Riley Park
Mischief,2016,1,16,23,45,Fairview
Other Theft,2016,3,15,16,19,Grandview-Woodland
Other Theft,2016,9,24,17,58,Grandview-Woodland
Theft from Vehicle,2016,6,17,17,0,West End
Mischief,2016,7,8,20,30,Fairview
Mischief,2016,2,6,12,0,Fairview
Offence Against a Person,2016,4,8,,,Riley Park
Theft from Vehicle,2016,6,21,19,30,West End
Break and Enter Commercial,2016,7,8,17,26,Fairview
Mischief,2016,7,9,17,0,Fairview
Mischief,2016,5,5,9,50,Fairview
Other Theft,2016,8,11,0,0,Hastings-Sunrise
Mischief,2016,11,29,18,0,Grandview-Woodland
Other Theft,2016,3,13,19,30,Central Business District
Offence Against a Person,2016,2,15,,,Riley Park
Other Theft,2016,1,18,11,15,Central Business District
Theft from Vehicle,2016,3,12,17,30,Arbutus Ridge
Mischief,2016,11,26,18,0,Grandview-Woodland
Other Theft,2016,5,20,11,17,Grandview-Woodland
Offence Against a Person,2016,6,5,,,Riley Park
Other Theft,2016,6,15,0,1,West End
Break and Enter Commercial,2016,7,1,2,0,Fairview
Other Theft,2016,9,26,15,25,Kitsilano
Offence Against a Person,2016,3,16,,,Riley Park
Other Theft,2016,9,11,16,0,Kitsilano
Break and Enter Commercial,2016,1,9,4,24,Central Business District
